slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
lambje01,Jeremy Lamb,SHOOTING GUARD,25,CHARLOTTE HORNETS,80,1967,17.0,0.559,0.305,0.25,2.7,15.4,8.9,15.4,1.5,1.4,9.1,22.4,3.0,1.9,4.9,0.12,1.3,0.2,1.6,1.8,False
larkish01,Shane Larkin,POINT GUARD,25,BOSTON CELTICS,54,775,10.3,0.491,0.393,0.169,2.1,10.7,6.5,18.5,1.9,0.2,12.3,15.5,0.3,1.1,1.4,0.087,-2.8,1.1,-1.7,0.1,False
lauvejo01,Joffrey Lauvergne,CENTER,26,SAN ANTONIO SPURS,55,534,16.5,0.536,0.026,0.247,13.0,22.6,17.8,12.2,0.9,0.5,13.5,20.4,0.6,0.7,1.3,0.12,-0.4,-0.6,-1.0,0.1,False
lavinza01,Zach LaVine,SHOOTING GUARD,22,CHICAGO BULLS,24,656,14.6,0.499,0.346,0.301,1.4,14.4,7.7,18.6,1.8,0.5,9.7,29.5,-0.1,0.5,0.3,0.025,-0.8,-1.5,-2.3,-0.1,False
laymaja01,Jake Layman,SMALL FORWARD,23,PORTLAND TRAIL BLAZERS,35,160,4.9,0.352,0.426,0.064,2.8,8.1,5.5,9.4,1.9,2.0,9.4,14.6,-0.3,0.2,-0.1,-0.021,-4.8,0.4,-4.3,-0.1,False
leaftj01,T.J. Leaf,POWER FORWARD,20,INDIANA PACERS,53,459,10.7,0.545,0.309,0.118,7.2,13.0,10.1,2.8,0.5,0.8,6.5,14.9,0.5,0.3,0.8,0.082,-1.4,-1.7,-3.1,-0.1,False
leeco01,Courtney Lee,SHOOTING GUARD,32,NEW YORK KNICKS,76,2310,13.0,0.564,0.368,0.164,1.4,9.3,5.4,11.3,1.7,0.6,9.4,16.9,2.7,1.2,3.9,0.082,-0.1,-0.2,-0.3,1.0,False
leeda03,Damion Lee,SHOOTING GUARD,25,ATLANTA HAWKS,15,404,12.0,0.489,0.395,0.191,3.0,16.6,9.8,11.2,2.3,0.2,7.8,19.3,0.0,0.4,0.4,0.046,-2.3,0.4,-1.9,0.0,False
lemonwa01,Walt Lemon Jr.,POINT GUARD,25,NEW ORLEANS PELICANS,5,35,6.9,0.491,0.063,0.188,0.0,6.0,3.1,21.1,0.0,2.3,18.8,26.4,-0.1,0.0,-0.1,-0.071,-5.3,-2.9,-8.2,-0.1,False
lenal01,Alex Len,CENTER,24,PHOENIX SUNS,69,1395,19.4,0.612,0.008,0.611,13.2,26.7,19.8,9.1,0.9,3.5,14.0,17.0,3.2,1.3,4.5,0.154,0.6,-0.3,0.3,0.8,False
leonaka01,Kawhi Leonard,SMALL FORWARD,26,SAN ANTONIO SPURS,9,210,26.0,0.572,0.315,0.342,3.1,19.1,11.1,17.7,4.3,3.6,11.1,30.6,0.3,0.5,0.9,0.196,5.2,4.9,10.1,0.6,False
leoname01,Meyers Leonard,CENTER,25,PORTLAND TRAIL BLAZERS,33,254,17.8,0.676,0.333,0.141,5.2,24.7,15.0,10.6,1.4,0.0,10.8,16.1,0.7,0.3,1.1,0.2,1.0,0.9,2.0,0.3,False
leuerjo01,Jon Leuer,POWER FORWARD,28,DETROIT PISTONS,8,136,8.9,0.505,0.083,0.417,5.6,20.7,13.0,5.3,0.4,2.0,14.1,16.1,0.0,0.1,0.1,0.05,-4.3,-0.3,-4.6,-0.1,False
leverca01,Caris LeVert,SMALL FORWARD,23,BROOKLYN NETS,71,1864,14.2,0.525,0.333,0.254,3.0,11.9,7.4,26.0,2.1,0.9,15.8,22.5,0.7,1.6,2.3,0.058,-0.8,0.0,-0.8,0.6,False
liggide01,DeAndre Liggins,SHOOTING GUARD,29,MILWAUKEE BUCKS,31,480,5.0,0.424,0.554,0.077,1.2,10.7,6.0,7.3,2.8,1.8,16.2,7.5,-0.3,0.5,0.2,0.02,-4.8,1.9,-2.8,-0.1,False
liggide01,DeAndre Liggins,SHOOTING GUARD,29,NEW ORLEANS PELICANS,27,244,7.8,0.537,0.415,0.0,0.9,10.3,5.8,10.7,2.0,1.3,14.6,8.5,0.1,0.2,0.3,0.062,-3.3,1.5,-1.8,0.0,False
lillada01,Damian Lillard,POINT GUARD,27,PORTLAND TRAIL BLAZERS,73,2670,25.2,0.594,0.445,0.38,2.6,10.6,6.6,30.9,1.4,0.8,11.1,30.6,9.9,2.7,12.6,0.227,7.0,0.3,7.2,6.3,False
linje01,Jeremy Lin,POINT GUARD,29,BROOKLYN NETS,1,25,15.9,0.597,0.167,0.583,0.0,0.0,0.0,27.1,0.0,0.0,16.6,31.3,0.0,0.0,0.0,0.087,-1.0,-4.4,-5.4,0.0,False
livinsh01,Shaun Livingston,POINT GUARD,32,GOLDEN STATE WARRIORS,71,1129,11.6,0.533,0.015,0.178,3.4,9.2,6.5,16.8,1.5,1.5,13.6,16.6,0.9,0.9,1.8,0.077,-2.8,-0.4,-3.1,-0.3,False
looneke01,Kevon Looney,CENTER,21,GOLDEN STATE WARRIORS,66,910,14.8,0.588,0.026,0.399,11.0,15.2,13.2,6.0,1.8,4.9,12.0,12.4,1.5,1.3,2.8,0.145,-1.2,1.0,-0.2,0.4,False
lopezbr01,Brook Lopez,CENTER,29,LOS ANGELES LAKERS,74,1735,16.5,0.557,0.41,0.199,4.6,13.4,9.0,11.6,0.8,4.6,10.2,23.5,1.9,1.9,3.8,0.105,0.7,0.2,0.9,1.3,False
lopezro01,Robin Lopez,CENTER,29,CHICAGO BULLS,64,1690,14.7,0.552,0.022,0.14,8.2,10.3,9.2,12.3,0.4,2.8,13.5,20.4,1.2,0.7,1.9,0.055,-0.9,-1.3,-2.2,-0.1,False
loveke01,Kevin Love,CENTER,29,CLEVELAND CAVALIERS,59,1651,22.4,0.614,0.453,0.365,7.0,29.8,18.6,9.8,1.3,1.2,9.6,25.1,4.7,1.6,6.4,0.185,4.5,-1.3,3.3,2.2,False
lowryky01,Kyle Lowry,POINT GUARD,31,TORONTO RAPTORS,78,2510,19.5,0.598,0.631,0.276,3.0,16.1,9.7,30.9,1.7,0.6,14.7,21.7,7.0,3.1,10.2,0.194,4.7,0.5,5.2,4.5,False
luwawti01,Timothé Luwawu-Cabarrot,SMALL FORWARD,22,PHILADELPHIA 76ERS,52,807,7.0,0.511,0.592,0.217,1.9,7.5,4.8,9.3,0.7,0.5,11.5,17.5,0.1,0.7,0.8,0.046,-3.1,-1.1,-4.1,-0.4,False
lydonty01,Tyler Lydon,POWER FORWARD,21,DENVER NUGGETS,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014,-3.9,-1.6,-5.4,0.0,False
lylestr01,Trey Lyles,POWER FORWARD,22,DENVER NUGGETS,73,1391,17.9,0.591,0.396,0.26,4.5,23.5,14.0,10.1,1.1,2.0,9.1,21.1,2.7,1.2,3.9,0.135,2.0,-0.7,1.3,1.1,False
macksh01,Shelvin Mack,POINT GUARD,27,ORLANDO MAGIC,69,1365,13.3,0.518,0.336,0.234,1.8,11.6,6.7,29.5,1.9,0.5,16.3,17.6,1.0,1.0,1.9,0.069,-1.2,-0.2,-1.4,0.2,False
magetjo01,Josh Magette,POINT GUARD,28,ATLANTA HAWKS,18,216,11.9,0.464,0.478,0.174,1.0,8.8,4.9,36.4,1.8,0.4,15.4,11.8,0.3,0.1,0.4,0.092,-2.0,-0.6,-2.6,0.0,False
mahinia01,Ian Mahinmi,CENTER,31,WASHINGTON WIZARDS,77,1145,12.2,0.601,0.008,0.516,13.4,17.4,15.4,6.6,1.6,3.2,24.7,15.6,0.8,1.4,2.2,0.093,-4.6,0.2,-4.4,-0.7,False
makerth01,Thon Maker,CENTER,20,MILWAUKEE BUCKS,74,1238,10.2,0.499,0.329,0.294,7.1,14.2,10.6,5.2,1.5,3.7,11.0,14.6,0.3,1.1,1.5,0.056,-3.2,-0.4,-3.5,-0.5,False
marjabo01,Boban Marjanović,CENTER,29,DETROIT PISTONS,19,171,21.6,0.597,0.0,0.57,9.5,27.7,18.4,14.4,1.2,3.1,18.2,31.3,0.2,0.3,0.5,0.138,-0.4,1.2,0.8,0.1,False
marjabo01,Boban Marjanović,CENTER,29,LOS ANGELES CLIPPERS,20,166,30.6,0.637,0.0,0.754,22.1,35.2,28.8,7.9,1.8,2.5,13.2,27.5,0.7,0.3,1.0,0.293,5.0,-0.8,4.2,0.3,False
markkla01,Lauri Markkanen,POWER FORWARD,20,CHICAGO BULLS,68,2020,15.6,0.552,0.465,0.193,4.0,23.7,13.5,6.4,0.9,1.8,8.2,21.9,1.7,1.6,3.3,0.079,1.0,-1.2,-0.2,0.9,False
martija01,Jarell Martin,POWER FORWARD,23,MEMPHIS GRIZZLIES,73,1661,10.5,0.516,0.198,0.234,6.6,15.8,11.1,7.0,1.2,2.8,13.6,17.1,0.1,1.2,1.3,0.038,-3.3,-0.7,-4.0,-0.8,False
masonfr01,Frank Mason III,POINT GUARD,23,SACRAMENTO KINGS,52,984,13.0,0.48,0.226,0.303,3.3,12.1,7.5,22.7,1.7,1.0,13.1,22.6,0.0,0.6,0.5,0.027,-1.3,-1.0,-2.3,-0.1,False
mathima01,Mangok Mathiang,CENTER,25,CHARLOTTE HORNETS,4,20,18.0,0.538,0.0,0.143,16.0,38.5,27.1,0.0,2.4,0.0,0.0,16.1,0.0,0.0,0.1,0.183,-3.3,-1.3,-4.6,0.0,False
matthwe02,Wesley Matthews,SMALL FORWARD,31,DALLAS MAVERICKS,63,2131,11.4,0.541,0.577,0.145,1.4,9.2,5.2,12.3,1.8,0.7,10.1,17.6,1.0,1.6,2.6,0.059,-1.0,0.1,-0.9,0.6,False
mbahalu01,Luc Mbah a Moute,POWER FORWARD,31,HOUSTON ROCKETS,61,1564,10.3,0.595,0.501,0.275,1.6,11.7,6.7,5.0,2.3,1.4,15.0,12.8,0.8,2.1,2.8,0.087,-1.6,1.4,-0.2,0.7,False
mcadoja01,James Michael McAdoo,POWER FORWARD,25,PHILADELPHIA 76ERS,3,18,7.4,0.508,1.0,0.286,0.0,11.5,6.0,0.0,0.0,4.6,11.3,21.0,0.0,0.0,0.0,0.023,-2.3,-0.7,-3.0,0.0,False
mccawpa01,Patrick McCaw,SHOOTING GUARD,22,GOLDEN STATE WARRIORS,57,961,7.4,0.477,0.356,0.151,2.0,7.2,4.8,10.6,2.2,0.8,14.6,12.8,-0.3,0.8,0.6,0.029,-4.3,0.1,-4.1,-0.5,False
mccolcj01,CJ McCollum,SHOOTING GUARD,26,PORTLAND TRAIL BLAZERS,81,2923,17.0,0.536,0.316,0.166,2.0,9.9,6.0,15.8,1.3,1.0,8.6,26.5,3.7,2.9,6.6,0.108,1.8,-0.5,1.2,2.4,False
mccontj01,T.J. McConnell,POINT GUARD,25,PHILADELPHIA 76ERS,76,1706,12.5,0.545,0.147,0.093,2.4,11.5,7.1,24.5,2.6,0.6,20.4,13.8,1.3,2.5,3.8,0.108,-1.9,1.9,0.0,0.9,False
mccreer01,Erik McCree,SMALL FORWARD,24,UTAH JAZZ,4,8,-8.9,0.0,0.5,0.0,0.0,14.0,7.1,0.0,6.3,0.0,33.3,16.9,-0.1,0.0,-0.1,-0.334,-14.7,1.0,-13.7,0.0,False
mcculch01,Chris McCullough,POWER FORWARD,22,WASHINGTON WIZARDS,19,90,15.8,0.478,0.19,0.333,8.8,22.6,15.7,7.1,0.0,4.9,4.0,24.6,0.1,0.1,0.2,0.081,-0.3,-1.5,-1.8,0.0,False
mcderdo01,Doug McDermott,SMALL FORWARD,26,NEW YORK KNICKS,55,1172,9.9,0.562,0.418,0.162,3.1,9.5,6.3,6.0,0.4,0.9,8.8,14.4,1.1,0.3,1.3,0.055,-0.7,-1.4,-2.1,0.0,False
mcderdo01,Doug McDermott,SMALL FORWARD,26,DALLAS MAVERICKS,26,596,11.5,0.611,0.439,0.156,1.3,11.4,6.1,7.5,0.8,0.6,10.3,16.3,0.6,0.3,1.0,0.077,-1.5,-1.0,-2.6,-0.1,False
mcgeeja01,JaVale McGee,CENTER,30,GOLDEN STATE WARRIORS,65,615,22.3,0.641,0.027,0.237,11.5,18.7,15.4,8.0,1.6,7.3,10.0,19.2,1.7,1.1,2.7,0.212,0.3,1.2,1.5,0.5,False
mcgruro01,Rodney McGruder,SHOOTING GUARD,26,MIAMI HEAT,18,299,12.0,0.595,0.479,0.11,4.1,7.9,6.0,8.4,1.3,0.9,5.0,12.1,0.5,0.3,0.8,0.125,-1.0,-0.4,-1.4,0.1,False
mckintr01,Trey McKinney-Jones,SHOOTING GUARD,27,INDIANA PACERS,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,-6.2,-2.3,-8.5,0.0,False
mckinal01,Alfonzo McKinnie,SMALL FORWARD,25,TORONTO RAPTORS,14,53,10.1,0.643,0.6,0.2,2.2,12.4,7.4,2.7,0.9,1.5,15.5,16.0,0.0,0.1,0.1,0.084,-2.6,-0.4,-3.0,0.0,False
mclembe01,Ben McLemore,SHOOTING GUARD,24,MEMPHIS GRIZZLIES,56,1091,9.7,0.526,0.426,0.172,3.5,11.4,7.4,7.5,1.8,1.3,13.2,19.0,-0.2,0.7,0.5,0.023,-2.9,-1.0,-3.9,-0.5,False
mcrobjo01,Josh McRoberts,POWER FORWARD,30,DALLAS MAVERICKS,2,6,-12.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,-0.19,-17.9,-3.6,-21.4,0.0,False
meeksjo01,Jodie Meeks,SHOOTING GUARD,30,WASHINGTON WIZARDS,77,1119,12.4,0.548,0.534,0.298,1.5,11.2,6.4,9.1,1.3,0.3,7.7,19.0,1.3,0.8,2.0,0.087,-0.3,-0.8,-1.1,0.3,False
mejrisa01,Salah Mejri,CENTER,31,DALLAS MAVERICKS,61,729,17.8,0.644,0.022,0.482,12.5,25.4,18.7,7.2,1.5,8.2,19.0,12.8,1.3,1.3,2.7,0.175,-2.0,2.8,0.7,0.5,False
mickejo01,Jordan Mickey,POWER FORWARD,23,MIAMI HEAT,23,284,10.6,0.515,0.195,0.232,7.1,24.9,16.0,4.8,1.1,3.0,16.6,17.1,-0.1,0.4,0.3,0.054,-5.2,-0.3,-5.6,-0.3,False
middlkh01,Khris Middleton,SMALL FORWARD,26,MILWAUKEE BUCKS,82,2982,17.4,0.577,0.32,0.285,1.8,15.0,8.4,17.7,2.0,0.6,11.8,24.6,4.6,2.3,6.9,0.111,0.8,-0.8,0.0,1.5,False
milescj01,C.J. Miles,SMALL FORWARD,30,TORONTO RAPTORS,70,1337,13.0,0.545,0.758,0.162,1.5,11.0,6.4,6.0,1.4,1.3,5.7,22.3,1.4,1.5,2.9,0.103,1.0,-0.7,0.3,0.8,False
milleda01,Darius Miller,SMALL FORWARD,27,NEW ORLEANS PELICANS,82,1944,9.3,0.617,0.735,0.138,1.0,7.9,4.6,7.5,0.7,0.7,10.1,12.8,2.1,0.9,3.0,0.075,-1.1,-0.8,-1.9,0.1,False
millema01,Malcolm Miller,SMALL FORWARD,24,TORONTO RAPTORS,15,126,8.9,0.638,0.75,0.143,3.6,9.6,6.7,3.2,0.4,1.3,14.4,12.1,0.1,0.1,0.2,0.087,-0.8,-0.2,-1.0,0.0,False
millspa02,Patty Mills,POINT GUARD,29,SAN ANTONIO SPURS,82,2107,11.8,0.558,0.607,0.173,1.4,6.8,4.1,16.0,1.3,0.4,12.6,17.8,2.0,2.1,4.1,0.093,-0.6,-0.4,-1.0,0.5,False
millspa01,Paul Millsap,POWER FORWARD,32,DENVER NUGGETS,38,1143,17.0,0.549,0.26,0.37,6.4,17.6,12.1,13.9,1.7,3.2,12.6,22.0,1.4,1.1,2.5,0.107,0.4,0.0,0.4,0.7,False
mirotni01,Nikola Mirotić,POWER FORWARD,26,CHICAGO BULLS,25,622,22.0,0.624,0.533,0.262,3.0,25.3,13.7,11.0,1.2,1.9,8.4,25.7,1.5,0.6,2.0,0.158,4.9,-0.3,4.6,1.0,False
mirotni01,Nikola Mirotić,POWER FORWARD,26,NEW ORLEANS PELICANS,30,872,16.3,0.539,0.516,0.152,5.3,24.6,15.3,6.8,1.6,2.4,7.1,21.8,0.7,1.2,1.9,0.106,0.8,-0.3,0.5,0.5,False
mitchdo01,Donovan Mitchell,SHOOTING GUARD,21,UTAH JAZZ,79,2638,16.7,0.541,0.404,0.218,2.3,10.4,6.4,19.4,2.2,0.9,12.6,29.1,1.4,3.8,5.2,0.095,0.9,0.3,1.2,2.2,False
mitrona01,Naz Mitrou-Long,SHOOTING GUARD,24,UTAH JAZZ,1,1,133.8,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.1,0.0,0.1,2.712,199.4,42.7,242.2,0.0,False
monkma01,Malik Monk,SHOOTING GUARD,19,CHARLOTTE HORNETS,63,854,10.3,0.477,0.572,0.089,1.0,7.5,4.2,16.9,1.1,0.9,10.0,24.9,-0.5,0.5,0.0,0.0,-1.3,-2.0,-3.4,-0.3,False
monrogr01,Greg Monroe,CENTER,27,MILWAUKEE BUCKS,5,79,11.1,0.489,0.0,0.121,8.9,28.1,18.5,10.2,0.0,0.0,14.7,23.3,-0.1,0.0,0.0,-0.013,-3.2,-2.4,-5.6,-0.1,False
monrogr01,Greg Monroe,CENTER,27,PHOENIX SUNS,20,465,21.0,0.642,0.0,0.297,11.3,25.7,18.4,18.2,1.6,1.0,18.6,19.6,1.0,0.4,1.4,0.142,2.1,0.0,2.1,0.5,False
monrogr01,Greg Monroe,CENTER,27,BOSTON CELTICS,26,496,23.0,0.58,0.0,0.348,11.9,24.4,18.2,20.5,2.8,2.9,17.4,24.9,0.8,1.1,2.0,0.193,1.2,2.4,3.6,0.7,False
montelu01,Luis Montero,SHOOTING GUARD,24,DETROIT PISTONS,2,8,-15.5,0.0,0.0,0.0,0.0,28.2,13.8,0.0,0.0,0.0,66.7,16.6,-0.1,0.0,-0.1,-0.445,-19.0,-6.6,-25.6,0.0,False
moorebe01,Ben Moore,POWER FORWARD,22,INDIANA PACERS,2,9,-2.3,0.0,0.0,0.0,0.0,12.5,6.3,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,-10.5,1.3,-9.3,0.0,False
mooreet01,E'Twaun Moore,SHOOTING GUARD,28,NEW ORLEANS PELICANS,82,2586,12.1,0.593,0.362,0.082,2.5,7.3,5.0,10.1,1.5,0.4,10.6,16.1,2.8,1.6,4.4,0.081,-1.0,-0.5,-1.6,0.3,False
moreler01,Eric Moreland,POWER FORWARD,26,DETROIT PISTONS,67,805,13.9,0.531,0.0,0.238,10.9,27.6,19.1,13.3,1.9,5.6,23.8,9.7,0.7,1.6,2.3,0.135,-2.8,3.3,0.5,0.5,False
morrija01,Jaylen Morris,SHOOTING GUARD,22,ATLANTA HAWKS,6,98,6.5,0.438,0.313,0.0,2.3,15.9,9.1,10.8,1.0,0.9,15.8,16.9,-0.2,0.1,-0.1,-0.053,-4.4,-1.0,-5.4,-0.1,False
morrima03,Marcus Morris,POWER FORWARD,28,BOSTON CELTICS,54,1447,14.5,0.541,0.383,0.252,3.3,18.4,10.9,8.1,1.2,0.7,8.7,23.0,1.1,2.2,3.2,0.108,-0.1,-0.1,-0.1,0.7,False
morrima02,Markieff Morris,POWER FORWARD,28,WASHINGTON WIZARDS,73,1968,13.2,0.566,0.301,0.186,4.3,19.2,11.8,11.0,1.4,1.7,14.6,19.5,1.2,2.1,3.3,0.08,-1.3,0.1,-1.3,0.4,False
morrimo01,Monte Morris,POINT GUARD,22,DENVER NUGGETS,3,25,27.1,0.727,0.167,0.333,0.0,9.0,4.5,41.2,5.9,0.0,12.7,13.7,0.1,0.0,0.2,0.312,4.3,5.0,9.4,0.1,False
motlejo01,Johnathan Motley,POWER FORWARD,22,DALLAS MAVERICKS,11,176,17.2,0.55,0.08,0.373,8.5,22.9,15.5,7.1,0.9,1.0,9.3,24.9,0.1,0.2,0.3,0.084,-1.3,-2.0,-3.3,-0.1,False
mozgoti01,Timofey Mozgov,CENTER,31,BROOKLYN NETS,31,359,12.3,0.617,0.194,0.323,9.4,19.7,14.5,4.8,0.7,2.7,23.7,16.8,0.1,0.3,0.4,0.055,-3.3,-0.6,-3.9,-0.2,False
mudiaem01,Emmanuel Mudiay,POINT GUARD,21,DENVER NUGGETS,42,752,12.3,0.504,0.317,0.242,2.4,11.6,7.0,24.1,1.4,0.4,16.8,24.8,0.0,0.3,0.3,0.019,-1.4,-2.1,-3.5,-0.3,False
mudiaem01,Emmanuel Mudiay,POINT GUARD,21,NEW YORK KNICKS,22,493,10.2,0.428,0.225,0.25,2.3,10.8,6.5,25.0,2.0,1.2,15.3,23.7,-0.7,0.4,-0.3,-0.034,-3.3,-1.4,-4.6,-0.3,False
muhamsh01,Shabazz Muhammad,SMALL FORWARD,25,MINNESOTA TIMBERWOLVES,32,301,9.3,0.446,0.157,0.256,5.7,11.6,8.6,3.4,0.8,0.6,3.6,20.5,0.0,0.1,0.0,0.008,-3.1,-2.8,-5.9,-0.3,False
muhamsh01,Shabazz Muhammad,SHOOTING GUARD,25,MILWAUKEE BUCKS,11,117,31.0,0.624,0.119,0.284,8.0,23.0,15.5,11.8,1.7,0.7,1.3,29.5,0.6,0.1,0.7,0.271,7.0,-1.0,6.0,0.2,False
munfoxa02,Xavier Munford,SHOOTING GUARD,25,MILWAUKEE BUCKS,6,21,-2.1,0.218,0.333,0.333,5.6,0.0,2.8,24.6,2.4,0.0,22.5,19.1,-0.1,0.0,-0.1,-0.197,-9.3,-2.0,-11.3,0.0,False
murrade01,Dejounte Murray,POINT GUARD,21,SAN ANTONIO SPURS,81,1743,15.1,0.485,0.056,0.243,7.0,22.4,14.6,20.2,2.8,1.5,16.6,20.7,-0.2,3.4,3.2,0.087,-1.6,2.2,0.5,1.1,False
murraja01,Jamal Murray,POINT GUARD,20,DENVER NUGGETS,81,2565,16.1,0.576,0.411,0.238,3.6,9.4,6.5,16.4,1.5,0.9,12.8,22.8,4.3,1.2,5.5,0.103,1.2,-1.5,-0.3,1.1,False
muscami01,Mike Muscala,CENTER,26,ATLANTA HAWKS,53,1060,14.4,0.597,0.535,0.199,5.9,18.3,12.1,7.3,1.4,2.2,11.0,15.7,1.5,0.9,2.4,0.109,0.3,0.1,0.3,0.6,False
naderab01,Abdel Nader,SMALL FORWARD,24,BOSTON CELTICS,48,522,5.1,0.439,0.436,0.262,2.8,12.0,7.4,7.1,1.4,1.6,17.0,17.1,-0.9,0.8,-0.1,-0.014,-5.5,0.2,-5.3,-0.4,False
nancela02,Larry Nance Jr.,CENTER,25,LOS ANGELES LAKERS,42,922,19.4,0.618,0.016,0.344,12.6,20.2,16.4,9.2,3.1,1.8,12.3,15.3,2.1,1.5,3.7,0.191,0.6,1.8,2.4,1.0,False
nancela02,Larry Nance Jr.,CENTER,25,CLEVELAND CAVALIERS,24,499,21.5,0.585,0.05,0.313,12.1,25.5,18.9,7.6,2.8,3.1,5.2,17.0,1.4,0.7,2.1,0.206,1.5,0.7,2.2,0.5,False
napiesh01,Shabazz Napier,POINT GUARD,26,PORTLAND TRAIL BLAZERS,74,1535,14.2,0.544,0.411,0.26,1.9,10.1,6.0,14.6,2.6,0.7,13.2,19.5,1.2,2.0,3.2,0.101,-0.7,1.4,0.7,1.0,False
nelsoja01,Jameer Nelson,POINT GUARD,35,NEW ORLEANS PELICANS,43,897,8.9,0.52,0.537,0.083,1.4,9.9,5.8,22.2,1.2,0.3,20.9,13.0,0.3,0.6,0.8,0.045,-2.3,-0.3,-2.6,-0.1,False
nelsoja01,Jameer Nelson,POINT GUARD,35,DETROIT PISTONS,7,116,2.6,0.322,0.359,0.077,1.9,5.8,3.8,27.7,1.7,0.8,21.4,19.6,-0.4,0.1,-0.3,-0.107,-7.4,-1.0,-8.4,-0.2,False
netora01,Raul Neto,POINT GUARD,25,UTAH JAZZ,41,498,11.9,0.55,0.311,0.232,1.6,9.5,5.6,23.0,1.3,0.7,17.8,18.3,0.3,0.6,0.9,0.086,-1.6,0.2,-1.4,0.1,False
niangge01,Georges Niang,POWER FORWARD,24,UTAH JAZZ,9,32,9.2,0.379,0.364,0.182,10.8,21.1,16.0,14.0,3.1,0.0,20.2,20.9,-0.1,0.1,0.0,-0.029,-4.9,0.9,-4.0,0.0,False
noahjo01,Joakim Noah,CENTER,32,NEW YORK KNICKS,7,40,15.6,0.51,0.0,0.4,16.7,22.1,19.4,14.0,2.5,4.3,25.4,17.2,0.0,0.1,0.1,0.072,-2.5,1.7,-0.8,0.0,False
noelne01,Nerlens Noel,CENTER,23,DALLAS MAVERICKS,30,472,16.2,0.558,0.01,0.267,10.9,29.3,19.8,6.3,3.3,4.1,18.1,13.8,0.4,1.0,1.3,0.135,-2.2,2.7,0.5,0.3,False
noguelu01,Lucas Nogueira,CENTER,25,TORONTO RAPTORS,49,418,17.3,0.661,0.238,0.35,4.9,18.1,11.7,7.2,2.7,8.2,14.8,11.4,0.7,1.0,1.6,0.188,0.1,5.0,5.2,0.8,False
nowitdi01,Dirk Nowitzki,CENTER,39,DALLAS MAVERICKS,77,1900,16.7,0.575,0.445,0.142,1.2,25.2,12.8,10.4,1.1,2.1,6.0,20.5,2.6,2.2,4.8,0.121,1.7,0.6,2.3,2.1,False
ntilila01,Frank Ntilikina,POINT GUARD,19,NEW YORK KNICKS,78,1706,7.0,0.437,0.314,0.136,2.4,9.1,5.8,20.0,1.9,0.9,19.8,16.9,-2.0,1.1,-0.9,-0.026,-4.5,-0.5,-5.0,-1.3,False
nurkiju01,Jusuf Nurkić,CENTER,23,PORTLAND TRAIL BLAZERS,79,2088,19.2,0.528,0.007,0.287,10.0,26.9,18.5,11.7,1.5,4.3,14.6,26.4,0.8,3.9,4.7,0.108,-1.1,1.1,0.0,1.1,False
nwabada01,David Nwaba,SHOOTING GUARD,25,CHICAGO BULLS,70,1646,12.2,0.542,0.123,0.48,5.6,16.0,10.6,9.4,1.7,1.6,13.1,15.6,1.1,1.4,2.4,0.071,-2.7,0.2,-2.5,-0.2,False
obryajo01,Johnny O'Bryant,POWER FORWARD,24,CHARLOTTE HORNETS,36,379,11.9,0.47,0.251,0.146,8.1,18.6,13.3,5.9,1.2,1.3,7.6,22.5,-0.1,0.4,0.3,0.038,-2.9,-1.5,-4.4,-0.2,False
onealro01,Royce O'Neale,SMALL FORWARD,24,UTAH JAZZ,69,1150,10.8,0.54,0.415,0.268,2.5,20.6,11.7,12.0,1.6,1.2,14.8,14.6,0.5,1.8,2.4,0.099,-2.0,1.8,-0.2,0.5,False
oquinky01,Kyle O'Quinn,CENTER,27,NEW YORK KNICKS,77,1387,20.0,0.625,0.044,0.331,9.7,27.8,18.8,16.8,1.3,6.1,18.5,17.0,2.7,2.1,4.8,0.166,0.4,2.6,3.1,1.8,False
ojelese01,Semi Ojeleye,POWER FORWARD,23,BOSTON CELTICS,73,1150,4.6,0.473,0.665,0.218,3.6,11.6,7.7,2.4,0.9,0.3,10.8,9.0,-0.2,1.3,1.2,0.048,-4.6,-0.1,-4.7,-0.8,False
okafoem01,Emeka Okafor,CENTER,35,NEW ORLEANS PELICANS,26,353,16.4,0.545,0.0,0.232,14.9,21.7,18.4,3.1,1.1,5.6,11.0,14.4,0.5,0.5,1.0,0.14,-1.1,-0.2,-1.2,0.1,False
